"","final.name","accession.no","h","kkm.hap","chen.hap"
"56","Lh20","Lh20","Lh37","Lh20","Lh20"
"57","Lh21","Lh21","Lh16","Lh21","Lh21"
"58","MN268659.1-Hap_33","MN268659.1","Lh16","Lh21","Hap_33"
"59","MN268641.1-Hap_24","MN268641.1","Lh16","Lh21","Hap_24"
"60","Lh22","Lh22","Lh17","Lh22","Lh22"
"61","MN268648.1-Hap_28","MN268648.1","Lh17","Lh22","Hap_28"
"62","MN268647.1","MN268647.1","Lh17","Lh22","MN268647.1"
"63","Lh23","Lh23","Lh03","Lh23","Lh23"
"64","MN268629.1-Hap_17","MN268629.1","Lh03","Lh23","Hap_17"
"65","MN268628.1-Hap_17","MN268628.1","Lh03","Lh23","Hap_17"
"66","MN268627.1-Hap_17","MN268627.1","Lh03","Lh23","Hap_17"
"67","MN268626.1-Hap_17","MN268626.1","Lh03","Lh23","Hap_17"
"68","MN268625.1-Hap_17","MN268625.1","Lh03","Lh23","Hap_17"
"69","Lh24","Lh24","Lh24","Lh24","Lh24"
"70","MN268658.1-Hap_32","MN268658.1","Lh24","Lh24","Hap_32"
"71","Lh25","Lh25","Lh38","Lh25","Lh25"
"72","Lh26","Lh26","Lh39","Lh26","Lh26"
"73","MN268677.1-Hap_48","MN268677.1","Lh25","MN268677.1-Hap_48","Hap_48"
"74","MN268676.1-Hap_48","MN268676.1","Lh25","MN268677.1-Hap_48","Hap_48"
"75","MN268668.1-Hap_40","MN268668.1","Lh40","MN268668.1-Hap_40","Hap_40"
"76","MN268631.1-Hap_18","MN268631.1","Lh26","MN268631.1-Hap_18","Hap_18"
"77","MN268630.1-Hap_18","MN268630.1","Lh26","MN268631.1-Hap_18","Hap_18"
"78","MN268615.1-Hap_13","MN268615.1","Lh41","MN268615.1-Hap_13","Hap_13"
"79","MN268624.1-Hap_16","MN268624.1","Lh09","MN268624.1-Hap_16","Hap_16"
"80","MN268623.1-Hap_16","MN268623.1","Lh09","MN268624.1-Hap_16","Hap_16"
"81","MN268622.1-Hap_16","MN268622.1","Lh09","MN268624.1-Hap_16","Hap_16"
"82","MN268621.1-Hap_16","MN268621.1","Lh09","MN268624.1-Hap_16","Hap_16"
"83","MN268608.1-Hap_10","MN268608.1","Lh10","MN268608.1-Hap_10","Hap_10"
"84","MN268607.1-Hap_10","MN268607.1","Lh10","MN268608.1-Hap_10","Hap_10"
"85","MN268606.1-Hap_10","MN268606.1","Lh10","MN268608.1-Hap_10","Hap_10"
"86","MN268582.1-Hap_1","MN268582.1","Lh10","MN268608.1-Hap_10","Hap_1"
"87","MN268665.1-Hap_37","MN268665.1","Lh42","MN268665.1-Hap_37","Hap_37"
"88","MN268639.1-Hap_22","MN268639.1","Lh06","MN268639.1-Hap_22","Hap_22"
"89","MN268638.1-Hap_22","MN268638.1","Lh06","MN268639.1-Hap_22","Hap_22"
"90","MN268637.1-Hap_22","MN268637.1","Lh06","MN268639.1-Hap_22","Hap_22"
"91","MN268636.1-Hap_22","MN268636.1","Lh06","MN268639.1-Hap_22","Hap_22"
"92","MN268634.1-Hap_20","MN268634.1","Lh06","MN268639.1-Hap_22","Hap_20"
"93","MN268667.1-Hap_39","MN268667.1","Lh43","MN268667.1-Hap_39","Hap_39"
"94","MN268601.1-Hap_6","MN268601.1","Lh18","MN268601.1-Hap_6","Hap_6"
"95","MN268600.1-Hap_6","MN268600.1","Lh18","MN268601.1-Hap_6","Hap_6"
"96","MN268599.1-Hap_6","MN268599.1","Lh18","MN268601.1-Hap_6","Hap_6"
"97","MN268613.1-Hap_11","MN268613.1","Lh07","MN268613.1-Hap_11","Hap_11"
"98","MN268612.1-Hap_11","MN268612.1","Lh07","MN268613.1-Hap_11","Hap_11"
"99","MN268611.1-Hap_11","MN268611.1","Lh07","MN268613.1-Hap_11","Hap_11"
"100","MN268610.1-Hap_11","MN268610.1","Lh07","MN268613.1-Hap_11","Hap_11"
"101","MN268609.1-Hap_11","MN268609.1","Lh07","MN268613.1-Hap_11","Hap_11"
"102","MN268620.1-Hap_15","MN268620.1","Lh44","MN268620.1-Hap_15","Hap_15"
"103","MN268591.1-Hap_3","MN268591.1","Lh11","MN268591.1-Hap_3","Hap_3"
"104","MN268590.1-Hap_3","MN268590.1","Lh11","MN268591.1-Hap_3","Hap_3"
"105","MZ401170.1","MZ401170.1","Lh11","MN268591.1-Hap_3","MZ401170.1"
"106","MZ401172.1","MZ401172.1","Lh11","MN268591.1-Hap_3","MZ401172.1"
"107","MN268674.1-Hap_46","MN268674.1","Lh45","MN268674.1-Hap_46","Hap_46"
"108","MN268664.1-Hap_36","MN268664.1","Lh46","MN268664.1-Hap_36","Hap_36"
"109","MN268669.1-Hap_41","MN268669.1","Lh47","MN268669.1-Hap_41","Hap_41"
"110","MN268640.1-Hap_23","MN268640.1","Lh48","MN268640.1-Hap_23","Hap_23"
"111","MN268666.1-Hap_38","MN268666.1","Lh49","MN268666.1-Hap_38","Hap_38"
"112","MN268661.1-Hap_34","MN268661.1","Lh19","MN268661.1-Hap_34","Hap_34"
"113","MN268660.1-Hap_34","MN268660.1","Lh19","MN268661.1-Hap_34","Hap_34"
"114","MN268614.1-Hap_12","MN268614.1","Lh19","MN268661.1-Hap_34","Hap_12"
"115","MN268605.1-Hap_9","MN268605.1","Lh27","MN268605.1-Hap_9","Hap_9"
"116","MN268604.1-Hap_9","MN268604.1","Lh27","MN268605.1-Hap_9","Hap_9"
"117","MN268603.1-Hap_8","MN268603.1","Lh28","MN268603.1-Hap_8","Hap_8"
"118","AB610384.1-Hap_8","AB610384.1","Lh28","MN268603.1-Hap_8","Hap_8"
"119","MN268671.1-Hap_43","MN268671.1","Lh50","MN268671.1-Hap_43","Hap_43"
"120","MN268670.1-Hap_42","MN268670.1","Lh51","MN268670.1-Hap_42","Hap_42"
"121","MN268657.1-Hap_31","MN268657.1","Lh12","MN268657.1-Hap_31","Hap_31"
"122","MN268656.1-Hap_31","MN268656.1","Lh12","MN268657.1-Hap_31","Hap_31"
"123","MN268655.1-Hap_31","MN268655.1","Lh12","MN268657.1-Hap_31","Hap_31"
"124","MN268654.1-Hap_31","MN268654.1","Lh12","MN268657.1-Hap_31","Hap_31"
"125","MN268672.1-Hap_44","MN268672.1","Lh52","MN268672.1-Hap_44","Hap_44"
"126","NC_037848.1","NC_037848.1","Lh29","NC_037848.1","NC_037848.1"
"127","MG599457.1","MG599457.1","Lh29","NC_037848.1","MG599457.1"
"128","MZ401175.1","MZ401175.1","Lh53","MZ401175.1","MZ401175.1"
"129","MZ401174.1","MZ401174.1","Lh54","MZ401174.1","MZ401174.1"
"130","DQ845439.1","DQ845439.1","Lh55","DQ845439.1","DQ845439.1"
"131","DQ845438.1","DQ845438.1","Lh56","DQ845438.1","DQ845438.1"
"132","MZ401173.1","MZ401173.1","Lh57","MZ401173.1","MZ401173.1"
"133","MN268598.1-Hap_5","MN268598.1","Lh58","MN268598.1-Hap_5","Hap_5"
